file	author	title	n_lines	n_tokens	mattr	fwr	anaphora	cv	predictability
eng_american_george_henry_boker.txt	George Henry Boker	THE BALLAD OF NEW ORLEANS	216	1324	0.8222274509803921	0.4380664652567976	0.1527777777777778	0.1625254097439609	0.7010309278350515
eng_american_george_henry_boker.txt	George Henry Boker	HOOKER'S ACROSS	27	200	0.7365562913907284	0.55	0.2222222222222222	0.3567211796347394	0.5833333333333334
eng_american_george_henry_boker.txt	George Henry Boker	BEFORE VICKSBURG	32	215	0.8712048192771085	0.39069767441860465	0.09375	0.23337631026547545	0.6923076923076923
eng_american_george_henry_boker.txt	George Henry Boker	THE BATTLE OF LOOKOUT MOUNTAIN	98	842	0.8372761664564944	0.4168646080760095	0.15306122448979592	0.6174166246848207	0.6
eng_american_hannah_flagg_gould.txt	Hannah Flagg Gould (1789-1865)	The Butterfly's Dream	56	401	0.8434090909090909	0.4389027431421446	0.19642857142857142	0.22360679774997896	0.7307692307692307
eng_american_hannah_flagg_gould.txt	Hannah Flagg Gould (1789-1865)	The Sale of the Water-Lily	108	630	0.8102925989672977	0.44126984126984126	0.16666666666666666	0.1888021676342763	0.7924528301886793
eng_american_hannah_flagg_gould.txt	Hannah Flagg Gould (1789-1865)	The Frost	32	256	0.7702415458937198	0.484375	0.09375	0.16237976320958225	0.7333333333333333
eng_american_henry_david_thoreau.txt	Henry David Thoreau	The Fall of the Leaf	48	320	0.8376383763837638	0.45	0.1875	0.16863421954040053	0.75
eng_american_henry_david_thoreau.txt	Henry David Thoreau	Nature	18	112	0.8085714285714285	0.44642857142857145	0.1111111111111111	0.11434150423987229	0.875
eng_american_henry_david_thoreau.txt	Henry David Thoreau	The Summer Rain	40	329	0.8422142857142857	0.41641337386018235	0.175	0.11309290848165493	0.6666666666666666
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE VILLAGE BLACKSMITH	48	286	0.7983966244725739	0.43356643356643354	0.16666666666666666	0.2410879263186435	0.6666666666666666
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE WRECK OF THE HESPERUS	32	206	0.7647133757961784	0.4223300970873786	0.21875	0.19393188694600172	0.6923076923076923
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	EXCELSIOR	45	238	0.8135449735449735	0.39915966386554624	0.2	0.4377820597523061	0.5
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE RAINY DAY	15	117	0.6597058823529411	0.39316239316239315	0.13333333333333333	0.09593993299420363	0.6666666666666666
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE ARROW AND THE SONG	12	88	0.7030769230769232	0.5	0.3333333333333333	0.11588680712710875	1.0
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	A PSALM OF LIFE.	37	222	0.8035838150289017	0.36036036036036034	0.10810810810810811	0.20032528163962585	0.5833333333333334
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE “CUMBERLAND.”	48	290	0.8227385892116182	0.43448275862068964	0.125	0.28259036204893623	0.38095238095238093
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	Nature	14	113	0.8446875	0.4424778761061947	0.14285714285714285	0.14406035925751953	0.8333333333333334
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	The Day is Done	44	254	0.7657560975609755	0.4448818897637795	0.22727272727272727	0.19142119340383024	0.8636363636363636
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	Sir Humphrey Gilbert	44	238	0.8103703703703704	0.42857142857142855	0.09090909090909091	0.23090137250477455	0.7894736842105263
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	The Fire of Driftwood	48	312	0.7876045627376426	0.4326923076923077	0.2708333333333333	0.1175019408963036	0.7916666666666666
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	The Tide Rises, the Tide Falls	15	100	0.6129411764705882	0.44	0.4	0.151657508881031	1.0
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	My Lost Youth	90	621	0.7005244755244755	0.46537842190016104	0.4	0.19924242151981914	0.813953488372093
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE SKELETON IN ARMOR	160	747	0.8389111747851002	0.40829986613119146	0.05	0.18813688222336275	0.515625
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE WAR-TOKEN	44	483	0.7952073732718894	0.4409937888198758	0.06818181818181818	0.1366302770343389	0.3
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE EXPEDITION TO WESSAGUSSET	99	1082	0.7695256534365924	0.477818853974122	0.050505050505050504	0.280898349298392	0.5945945945945946
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	PROLOGUE	42	315	0.8009022556390977	0.4158730158730159	0.19047619047619047	0.13130909635725033	0.8947368421052632
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE PROCLAMATION	112	693	0.7955900621118013	0.4184704184704185	0.0625	0.43114362137048784	0.6363636363636364
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	PROLOGUE	46	361	0.773974358974359	0.47645429362880887	0.13043478260869565	0.13539445329473615	0.6521739130434783
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE TRIAL	366	1920	0.76439337252806	0.42864583333333334	0.12295081967213115	0.6216589385907182	0.6464088397790055
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE BATTLE OF LOVELL'S POND	16	147	0.7646938775510204	0.4217687074829932	0.1875	0.12889316545235657	0.3333333333333333
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	A BALLAD OF THE FRENCH FLEET	56	301	0.7784126984126984	0.45182724252491696	0.17857142857142858	0.18120784243580923	0.5769230769230769
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE EMBARKATION	87	950	0.7556492785793563	0.46210526315789474	0.05747126436781609	0.24218305386411196	0.39285714285714285
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	PAUL REVERE'S RIDE	130	980	0.7546294307196563	0.4959183673469388	0.16923076923076924	0.17884818204250325	0.6551724137931034
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	HYMN OF THE MORAVIAN NUNS OF BETHLEHEM	42	251	0.7934653465346535	0.40239043824701193	0.11904761904761904	0.15700446609751417	0.5263157894736842
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	VICTOR GALBRAITH	49	278	0.7558078602620087	0.39928057553956836	0.24489795918367346	0.4913463661084899	0.6666666666666666
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	THE REVENGE OF RAIN-IN-THE-FACE	48	264	0.7651162790697674	0.4696969696969697	0.14583333333333334	0.20327890704543544	0.6
eng_american_henry_wadsworth_longfellow.txt	Henry Wadsworth Longfellow (1807-1882)	PRESIDENT GARFIELD	14	101	0.8634615384615384	0.42574257425742573	0.07142857142857142	0.13022719245510797	1.0
