file	author	title	n_lines	n_tokens	mattr	fwr	anaphora	cv	predictability
eng_american_a_e_blackmar.txt	A. E. Blackmar	"ALLONS ENFANS."	39	263	0.7157943925233645	0.33460076045627374	0.15384615384615385	0.29793974181231536	0.7857142857142857
eng_american_a_g_knight.txt	A. G. Knight	THAT BUGLER; OR, THE UPIDEE SONG	39	203	0.8044155844155844	0.3694581280788177	0.10256410256410256	0.4769429533974239	0.8181818181818182
eng_american_a_w_morse.txt	A. W. Morse	THE SOLDIER'S MISSION	12	99	0.8528	0.20202020202020202	0.08333333333333333	0.13208784677395982	0.8333333333333334
eng_american_alex_b_meek.txt	Alex. B. Meek	WOULD'ST THOU HAVE ME LOVE THEE?	40	234	0.8512432432432432	0.3333333333333333	0.125	0.1458010436686494	0.6842105263157895
eng_american_annie_c_ketchum.txt	Annie C. Ketchum	GATHERING SONG  [air: Bonnie Blue Flag]	32	180	0.8297709923664123	0.38333333333333336	0.125	0.19751543149590198	0.6666666666666666
eng_american_benjamin_f_taylor.txt	Benjamin F. Taylor	THE CAVALRY CHARGE	36	301	0.7330952380952381	0.4883720930232558	0.5	0.09414370309172594	0.8235294117647058
eng_american_c_a_warfield.txt	C. A. Warfield	THE SOUTHRON'S CHANT OF DEFIANCE	40	187	0.81	0.48663101604278075	0.1	0.35596661477310415	0.42105263157894735
eng_american_c_a_warfield.txt	C. A. Warfield	MANASSAS	32	151	0.8249019607843138	0.4370860927152318	0.21875	0.3483594789360903	0.5
eng_american_c_a_warfield.txt	C. A. Warfield	BEAUREGARD	32	142	0.8249462365591398	0.39436619718309857	0.15625	0.43251133895166444	0.3333333333333333
eng_american_capt_thorpe.txt	Capt. Thorpe	THE TOAST OF MORGAN'S MEN	8	50	0.74	0.48	0.25	0.15491933384829668	1.0
eng_american_charles_henry_lueders.txt	Charles Henry Lueders	The Four Winds	28	193	0.6788888888888889	0.48704663212435234	0.39285714285714285	0.2639437435637312	0.5
eng_american_clement_clarke_moore.txt	Clement Clarke Moore (1779-1863)	A Visit From Saint Nicholas	56	540	0.7589002036659878	0.4888888888888889	0.21428571428571427	0.11499388663896314	0.5925925925925926
eng_american_e_griswold.txt	E. Griswold	NATIONAL HYMN	55	294	0.6993469387755102	0.2891156462585034	0.2	0.21469025630012922	0.28
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	THE RAVEN.	113	1073	0.8169140625	0.3998136067101584	0.07079646017699115	0.3387118925318018	0.4807692307692308
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	ANNABEL LEE.	41	303	0.7135433070866142	0.5445544554455446	0.17073170731707318	0.26440350698910103	1.0
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	ELDORADO.	24	93	0.7759090909090909	0.4731182795698925	0.08333333333333333	0.2505630150049687	0.45454545454545453
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	TO HELEN.	66	505	0.7899122807017543	0.42574257425742573	0.09090909090909091	0.1403668636827344	0.6153846153846154
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	ISRAFEL. [1]	51	251	0.8189108910891089	0.4103585657370518	0.0784313725490196	0.29525111256811	0.7142857142857143
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	LENORE.	26	305	0.813671875	0.3901639344262295	0.11538461538461539	0.08406346808612328	0.6363636363636364
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	ULALUME.	94	657	0.7252631578947368	0.4687975646879756	0.1276595744680851	0.19521667072404236	0.6333333333333333
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	THE BELLS,	14	77	0.6950000000000001	0.45454545454545453	0.14285714285714285	0.32777738867854445	0.16666666666666666
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	The City in the Sea	53	318	0.7990334572490706	0.39937106918238996	0.11320754716981132	0.24010829143171164	0.76
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	The Haunted Palace	48	246	0.8456852791878172	0.3943089430894309	0.125	0.25386170725196744	0.7727272727272727
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	To Helen	15	86	0.841081081081081	0.313953488372093	0.13333333333333333	0.16195800322307116	0.5
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	To One in Paradise	26	143	0.8102127659574467	0.4125874125874126	0.15384615384615385	0.19157000716528794	0.5454545454545454
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	The Valley of Unrest	27	156	0.8074766355140187	0.4358974358974359	0.1111111111111111	0.18366409900949285	0.5384615384615384
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	The Sleeper	60	370	0.8343925233644859	0.4027027027027027	0.1	0.18015056752975886	0.8
eng_american_edgar_allan_poe.txt	Edgar Allan Poe (1809-1849)	For Annie	102	442	0.7175572519083969	0.47737556561085975	0.13725490196078433	0.25716329843226826	0.7391304347826086
eng_american_edwin_hobby.txt	Edwin Hobby	TO THE BELOVED MEMORY OF MAJ.-GEN. TOM GREEN	113	852	0.8184059775840598	0.4307511737089202	0.13274336283185842	0.21249642633260016	0.625
eng_american_eugene_field.txt	Eugene Field	Little Boy Blue	24	176	0.7381102362204724	0.4318181818181818	0.25	0.18323313064314886	0.9090909090909091
eng_american_eugene_field.txt	Eugene Field	Dutch Lullaby	48	261	0.8008490566037736	0.41762452107279696	0.1875	0.47766884494667006	0.6923076923076923
eng_american_eugene_field.txt	Eugene Field	The Sugar-Plum Tree	32	243	0.7749484536082475	0.45267489711934156	0.21875	0.21552945473536622	0.6875
eng_american_eugene_field.txt	Eugene Field	SEEIN' THINGS	30	343	0.7869387755102041	0.3556851311953353	0.2	0.11665451325797407	1.0
eng_american_eugene_field.txt	Eugene Field	The Duel	36	257	0.810673076923077	0.44357976653696496	0.1388888888888889	0.15886735924197357	0.7333333333333333
eng_american_eugene_field.txt	Eugene Field	Jest 'Fore Christmas	40	438	0.8423650385604113	0.3493150684931507	0.175	0.12072423804933596	0.7894736842105263
eng_american_fr_sulzner.txt	Fr. Sulzner	THE SOLDIER'S DREAM	32	196	0.7714285714285715	0.44387755102040816	0.1875	0.1399113183755315	0.75
eng_american_francis_o_ticknor.txt	Francis O. Ticknor	LITTLE GIFFIN	37	253	0.7935294117647058	0.43478260869565216	0.10810810810810811	0.19857136513010798	0.7222222222222222
eng_american_francis_o_ticknor.txt	Francis O. Ticknor	THE VIRGINIANS OF THE VALLEY	24	130	0.7906172839506174	0.36923076923076925	0.16666666666666666	0.20670219575152532	0.7
eng_american_francis_o_ticknor.txt	Francis O. Ticknor	A BATTLE BALLAD	68	373	0.7169135802469135	0.46112600536193027	0.17647058823529413	0.18362164961037816	0.7586206896551724
eng_american_francis_o_ticknor.txt	Francis O. Ticknor	"OUR LEFT"	30	130	0.7985185185185186	0.4461538461538462	0.13333333333333333	0.20925339244208377	0.6
eng_american_francis_o_ticknor.txt	Francis O. Ticknor	ALBERT SIDNEY JOHNSTON	10	69	0.669	0.5072463768115942	0.2	0.18840579710144928	0.5
eng_american_george_b_milror.txt	George B. Milror	DEATH OF GEN. ALBERT SIDNEY JOHNSTON	28	203	0.8220779220779222	0.4482758620689655	0.17857142857142858	0.193766195948326	0.4166666666666667
eng_american_george_parsons_lathrop.txt	George Parsons Lathrop	KEENAN’S CHARGE	46	349	0.8326666666666667	0.4326647564469914	0.13043478260869565	0.1973752446910547	0.631578947368421
eng_american_george_parsons_lathrop.txt	George Parsons Lathrop	MARTHY VIRGINIA'S HAND	61	477	0.850233644859813	0.4444444444444444	0.06557377049180328	0.7075747518938825	0.6923076923076923
eng_american_george_parsons_lathrop.txt	George Parsons Lathrop	The Child's Wish Granted	10	85	0.8105555555555556	0.43529411764705883	0.1	0.12140522651411392	1.0
eng_american_hamilton_washington.txt	Hamilton Washington	DUTY AND DEFIANCE	24	142	0.8440860215053764	0.38028169014084506	0.08333333333333333	0.1081851513784311	0.18181818181818182
eng_american_harry_macarthy.txt	Harry Macarthy	THE BONNIE BLUE FLAG	32	318	0.7954646840148698	0.36163522012578614	0.15625	0.20115956719143996	0.875
eng_american_harry_macarthy.txt	Harry Macarthy	OUR FLAG; OR, THE ORIGIN OF THE STARS AND BARS	36	256	0.7228019323671497	0.46484375	0.25	0.1436310649285175	0.7058823529411765
eng_american_harry_macarthy.txt	Harry Macarthy	MISSOURI	24	202	0.7887581699346404	0.4405940594059406	0.16666666666666666	0.18759698338115263	0.5833333333333334
eng_american_harry_macarthy.txt	Harry Macarthy	THE VOLUNTEER; OR, IT IS MY COUNTRY'S CALL	18	197	0.7951351351351351	0.39593908629441626	0.16666666666666666	0.11179043424134641	0.6
eng_american_henry_houghton.txt	Henry Houghton	FOLD IT UP CAREFULLY	23	137	0.7320454545454546	0.35766423357664234	0.17391304347826086	0.15241323370672338	0.6363636363636364
