# LINE-FINAL word counts over corpus/song/eng_*, PER AUTHOR.
#
# Generated by quality/build_song_frequency.py. Declared in data/sources.tsv,
# which states what this file may NOT be used to score.
#
# NOT INDEPENDENT OF corpus/song/. These counts ARE that corpus, so scoring
# any text drawn from it requires leave-one-author-out, which is what the
# `author` column is for -- doctrine 13, a resource used to score a cell may
# not be derived from that cell. `quality/frequency.py` refuses to serve this
# table for an author it contains unless `leave_out=` is passed.
#
# `author` is the corpus file's basename without `.txt`, which is the key
# `data/lyricists.tsv:corpus_path` uses.
#
# THE PERIOD IS A COORDINATE OF THIS FILE, NOT A FOOTNOTE. All 143 authors
# died in or before 1929 (median 1867), because the provenance gate admits
# nothing later. So this is a model of what was predictable in ENGLISH SUNG
# VERSE BEFORE 1930, and `thee` is its rank-2 line-final word. Doctrine 11
# has already caught two features reading period rather than quality; assume
# this one does too until a measurement says otherwise.
word	author	count
will	eng_hymn_watts	51
all	eng_british_robert_herrick	50
land	eng_hymn_watts	50
me	eng_hymn_watts	50
still	eng_hymn_watts	50
thee	eng_british_christina_rossetti	50
thine	eng_british_felicia_hemans	50
thine	eng_hymn_watts	50
white	eng_hall_william_barnes	50
heaven	eng_british_felicia_hemans	49
pain	eng_hall_thomas_durfey	49
wall	eng_hall_william_barnes	49
again	eng_hall_thomas_durfey	48
be	eng_hymn_watts	48
righteousness	eng_hymn_watts	48
too	eng_hall_thomas_durfey	48
delight	eng_hymn_watts	47
god	eng_british_felicia_hemans	47
out	eng_hall_william_barnes	47
own	eng_hymn_watts	47
pride	eng_hall_william_barnes	47
see	eng_hall_thomas_durfey	47
song	eng_british_felicia_hemans	47
sound	eng_british_felicia_hemans	47
all	eng_hall_william_barnes	46
breath	eng_british_felicia_hemans	45
eyes	eng_hall_thomas_durfey	45
i	eng_british_robert_herrick	45
men	eng_hymn_watts	45
mind	eng_hall_william_barnes	45
on	eng_british_felicia_hemans	45
on	eng_hall_william_barnes	45
saints	eng_hymn_watts	45
come	eng_hall_william_barnes	44
now	eng_british_felicia_hemans	44
town	eng_hall_thomas_durfey	44
vain	eng_british_adelaide_anne_procter	44
wave	eng_british_felicia_hemans	44
wide	eng_hall_william_barnes	44
you	eng_celtic_robert_burns	44
again	eng_british_adelaide_anne_procter	43
again	eng_celtic_robert_burns	43
day	eng_british_adelaide_anne_procter	43
day	eng_british_robert_herrick	43
here	eng_hymn_watts	43
home	eng_british_felicia_hemans	43
hour	eng_british_felicia_hemans	43
abode	eng_hymn_watts	42
again	eng_hall_john_clare	42
air	eng_celtic_robert_burns	42
back	eng_hall_william_barnes	42
blue	eng_hall_william_barnes	42
by	eng_hall_william_barnes	42
command	eng_hymn_watts	42
dead	eng_celtic_robert_burns	42
light	eng_british_adelaide_anne_procter	42
me	eng_hall_william_barnes	42
mill	eng_hall_william_barnes	42
move	eng_hymn_watts	42
shame	eng_hymn_watts	42
skies	eng_british_felicia_hemans	42
still	eng_hall_william_barnes	42
tell	eng_celtic_robert_burns	42
ye	eng_hall_thomas_durfey	42
arise	eng_hymn_watts	41
away	eng_british_christina_rossetti	41
face	eng_hall_thomas_durfey	41
frame	eng_hymn_watts	41
go	eng_hall_thomas_durfey	41
high	eng_hall_william_barnes	41
home	eng_hymn_watts	41
lay	eng_british_felicia_hemans	41
made	eng_hymn_watts	41
peace	eng_hymn_watts	41
power	eng_british_felicia_hemans	41
show	eng_hall_william_barnes	41
sleep	eng_british_felicia_hemans	41
spring	eng_hall_william_barnes	41
still	eng_british_felicia_hemans	41
them	eng_celtic_robert_burns	41
there	eng_hall_william_barnes	41
unknown	eng_hymn_watts	41
alone	eng_hymn_watts	40
breast	eng_celtic_robert_burns	40
christ	eng_hymn_watts	40
her	eng_british_adelaide_anne_procter	40
it	eng_british_robert_herrick	40
more	eng_british_adelaide_anne_procter	40
play	eng_hall_thomas_durfey	40
raise	eng_hymn_watts	40
by	eng_british_felicia_hemans	39
care	eng_hall_thomas_durfey	39
cry	eng_hymn_watts	39
eyes	eng_british_felicia_hemans	39
hour	eng_hymn_watts	39
mine	eng_celtic_robert_burns	39
mine	eng_hymn_watts	39
rest	eng_celtic_robert_burns	39
souls	eng_hymn_watts	39
stands	eng_hymn_watts	39
again	eng_british_christina_rossetti	38
are	eng_hymn_watts	38
do	eng_british_robert_herrick	38
earth	eng_hymn_watts	38
eye	eng_celtic_robert_burns	38
found	eng_hymn_watts	38
in	eng_celtic_robert_burns	38
just	eng_hymn_watts	38
land	eng_hall_william_barnes	38
lies	eng_hymn_watts	38
out	eng_hall_thomas_durfey	38
red	eng_hall_william_barnes	38
rejoice	eng_hymn_watts	38
rod	eng_hymn_watts	38
true	eng_hall_thomas_durfey	38
you	eng_hall_william_barnes	38
alone	eng_british_felicia_hemans	37
behind	eng_hall_william_barnes	37
come	eng_british_robert_herrick	37
do	eng_hall_thomas_durfey	37
goo	eng_hall_william_barnes	37
green	eng_hall_william_barnes	37
hours	eng_british_felicia_hemans	37
joy	eng_hymn_watts	37
joys	eng_hymn_watts	37
mair	eng_celtic_robert_burns	37
min	eng_hall_william_barnes	37
one	eng_british_robert_herrick	37
pause	eng_hymn_watts	37
reigns	eng_hymn_watts	37
sea	eng_british_christina_rossetti	37
trust	eng_hymn_watts	37
us	eng_celtic_thomas_moore	37
way	eng_british_felicia_hemans	37
ye	eng_celtic_robert_burns	37
blest	eng_hymn_watts	36
blow	eng_hall_william_barnes	36
done	eng_hymn_watts	36
grave	eng_british_felicia_hemans	36
grave	eng_hymn_watts	36
head	eng_celtic_robert_burns	36
kind	eng_hall_thomas_durfey	36
me	eng_british_jean_ingelow	36
or	eng_hymn_watts	36
own	eng_british_felicia_hemans	36
pain	eng_hymn_watts	36
the	eng_british_felicia_hemans	36
true	eng_hall_william_barnes	36
bed	eng_hall_william_barnes	35
deny	eng_hall_thomas_durfey	35
face	eng_celtic_robert_burns	35
farewell	eng_british_felicia_hemans	35
free	eng_hall_thomas_durfey	35
here	eng_british_felicia_hemans	35
hope	eng_hymn_watts	35
not	eng_british_felicia_hemans	35
past	eng_british_felicia_hemans	35
there	eng_hall_thomas_durfey	35
you	eng_british_robert_herrick	35
about	eng_hall_william_barnes	34
alone	eng_hall_thomas_durfey	34
birth	eng_british_felicia_hemans	34
dead	eng_hall_william_barnes	34
done	eng_british_felicia_hemans	34
down	eng_hall_thomas_durfey	34
fall	eng_british_robert_herrick	34
grace	eng_celtic_robert_burns	34
know	eng_hymn_watts	34
life	eng_hall_thomas_durfey	34
love	eng_hall_william_barnes	34
rage	eng_hymn_watts	34
rise	eng_hall_william_barnes	34
skies	eng_hall_william_barnes	34
sorrow	eng_british_adelaide_anne_procter	34
sound	eng_hymn_watts	34
too	eng_british_robert_herrick	34
above	eng_hall_william_barnes	33
be	eng_british_christina_rossetti	33
brook	eng_hall_william_barnes	33
child	eng_british_felicia_hemans	33
flower	eng_british_felicia_hemans	33
go	eng_british_robert_herrick	33
know	eng_british_robert_herrick	33
lamb	eng_hymn_watts	33
love	eng_british_robert_herrick	33
me	eng_british_felicia_hemans	33
more	eng_celtic_robert_burns	33
pride	eng_celtic_robert_burns	33
spread	eng_hymn_watts	33
thee	eng_hall_john_clare	33
wife	eng_hall_thomas_durfey	33
yet	eng_celtic_robert_burns	33
away	eng_celtic_robert_burns	32
breeze	eng_british_felicia_hemans	32
dies	eng_hymn_watts	32
do	eng_hall_william_barnes	32
do	eng_hymn_watts	32
good	eng_hymn_watts	32
in	eng_hall_thomas_durfey	32
know	eng_hall_thomas_durfey	32
land	eng_british_felicia_hemans	32
lie	eng_british_felicia_hemans	32
love	eng_hymn_charles_wesley	32
low	eng_hall_william_barnes	32
part	eng_celtic_robert_burns	32
plain	eng_hall_thomas_durfey	32
pray	eng_hymn_watts	32
remove	eng_hymn_watts	32
say	eng_hall_thomas_durfey	32
strain	eng_british_felicia_hemans	32
thee	eng_british_percy_bysshe_shelley	32
this	eng_british_robert_herrick	32
way	eng_hall_edwin_waugh	32
zee	eng_hall_william_barnes	32
bright	eng_hall_william_barnes	31
fled	eng_british_felicia_hemans	31
go	eng_hymn_watts	31
great	eng_hymn_watts	31
is	eng_hall_thomas_durfey	31
know	eng_hall_william_barnes	31
love	eng_celtic_thomas_moore	31
men	eng_hall_thomas_durfey	31
mirth	eng_british_felicia_hemans	31
part	eng_british_felicia_hemans	31
prove	eng_hymn_watts	31
repose	eng_british_felicia_hemans	31
rest	eng_hall_thomas_durfey	31
road	eng_hymn_watts	31
said	eng_british_lewis_carroll	31
shrine	eng_british_felicia_hemans	31
way	eng_hall_thomas_durfey	31
well	eng_hall_thomas_durfey	31
wine	eng_british_robert_herrick	31
woe	eng_british_felicia_hemans	31
again	eng_british_robert_herrick	30
away	eng_british_robert_herrick	30
bow	eng_hall_william_barnes	30
breast	eng_hall_william_barnes	30
clay	eng_hymn_watts	30
despair	eng_hymn_watts	30
die	eng_british_robert_herrick	30
fear	eng_british_felicia_hemans	30
fears	eng_hymn_watts	30
find	eng_hymn_watts	30
fly	eng_hymn_watts	30
he	eng_hall_thomas_durfey	30
heart	eng_british_robert_herrick	30
light	eng_celtic_thomas_moore	30
live	eng_hymn_watts	30
own	eng_hall_thomas_durfey	30
proclaim	eng_hymn_watts	30
ride	eng_hall_william_barnes	30
run	eng_hall_william_barnes	30
said	eng_hall_thomas_durfey	30
sea	eng_hymn_watts	30
so	eng_british_robert_herrick	30
songs	eng_hymn_watts	30
stand	eng_hall_william_barnes	30
thought	eng_british_felicia_hemans	30
vain	eng_hall_thomas_durfey	30
well	eng_hymn_watts	30
away	eng_hall_john_clare	29
blast	eng_british_felicia_hemans	29
divine	eng_british_adelaide_anne_procter	29
dwell	eng_british_felicia_hemans	29
flight	eng_hall_william_barnes	29
fun	eng_hall_william_barnes	29
given	eng_british_felicia_hemans	29
gloom	eng_british_felicia_hemans	29
glow	eng_british_felicia_hemans	29
go	eng_british_felicia_hemans	29
heaven	eng_british_adelaide_anne_procter	29
here	eng_hall_thomas_durfey	29
joy	eng_hall_thomas_durfey	29
life	eng_hymn_watts	29
mind	eng_hall_thomas_durfey	29
morn	eng_celtic_robert_burns	29
night	eng_hall_thomas_durfey	29
one	eng_british_felicia_hemans	29
play	eng_british_felicia_hemans	29
pleasure	eng_hall_thomas_durfey	29
rest	eng_british_adelaide_anne_procter	29
roar	eng_celtic_robert_burns	29
shade	eng_british_felicia_hemans	29
tears	eng_british_felicia_hemans	29
tears	eng_hymn_watts	29
there	eng_british_adelaide_anne_procter	29
tomb	eng_british_felicia_hemans	29
tree	eng_british_felicia_hemans	29
way	eng_celtic_robert_burns	29
will	eng_hall_thomas_durfey	29
year	eng_british_robert_herrick	29
zing	eng_hall_william_barnes	29
alone	eng_british_christina_rossetti	28
desire	eng_hall_thomas_durfey	28
dew	eng_hall_william_barnes	28
distress	eng_hymn_watts	28
dreams	eng_british_felicia_hemans	28
fate	eng_celtic_robert_burns	28
flies	eng_hymn_watts	28
flow	eng_british_felicia_hemans	28
gone	eng_hymn_watts	28
hand	eng_celtic_robert_burns	28
in	eng_hall_william_barnes	28
lass	eng_celtic_robert_burns	28
last	eng_british_felicia_hemans	28
law	eng_hymn_watts	28
lie	eng_hymn_watts	28
man	eng_hymn_watts	28
maryland	eng_american_james_ryder_randall	28
me	eng_hall_john_clare	28
nigh	eng_hymn_watts	28
now	eng_hall_william_barnes	28
one	eng_hymn_watts	28
say	eng_british_robert_herrick	28
shore	eng_celtic_robert_burns	28
snow	eng_hall_william_barnes	28
tear	eng_celtic_robert_burns	28
thee	eng_british_adelaide_anne_procter	28
tongues	eng_hymn_watts	28
us	eng_hall_thomas_durfey	28
young	eng_hall_william_barnes	28
adore	eng_hymn_watts	27
appears	eng_hymn_watts	27
arms	eng_hall_thomas_durfey	27
around	eng_hymn_watts	27
away	eng_celtic_thomas_moore	27
best	eng_hall_william_barnes	27
breast	eng_hymn_watts	27
bright	eng_british_felicia_hemans	27
come	eng_british_felicia_hemans	27
eye	eng_hymn_watts	27
fair	eng_british_felicia_hemans	27
fall	eng_british_felicia_hemans	27
fire	eng_hall_thomas_durfey	27
flow	eng_hymn_watts	27
foes	eng_hymn_watts	27
free	eng_british_robert_herrick	27
gay	eng_hall_thomas_durfey	27
given	eng_hymn_watts	27
grass	eng_hall_william_barnes	27
hand	eng_british_felicia_hemans	27
hour	eng_celtic_robert_burns	27
is	eng_british_robert_herrick	27
king	eng_hall_thomas_durfey	27
maid	eng_hall_thomas_durfey	27
may	eng_celtic_robert_burns	27
me	eng_british_emily_bronte	27
now	eng_hymn_watts	27
part	eng_british_robert_herrick	27
pass	eng_hall_william_barnes	27
past	eng_british_adelaide_anne_procter	27
same	eng_hymn_watts	27
side	eng_hymn_watts	27
sing	eng_british_christina_rossetti	27
so	eng_hall_thomas_durfey	27
stood	eng_hymn_watts	27
streams	eng_british_felicia_hemans	27
sword	eng_hymn_watts	27
thee	eng_british_lord_byron	27
vain	eng_british_felicia_hemans	27
wise	eng_hymn_watts	27
again	eng_celtic_thomas_moore	26
along	eng_hall_william_barnes	26
art	eng_celtic_robert_burns	26
be	eng_british_adelaide_anne_procter	26
before	eng_british_adelaide_anne_procter	26
blast	eng_celtic_robert_burns	26
boys	eng_hall_thomas_durfey	26
care	eng_hymn_watts	26
cast	eng_british_felicia_hemans	26
cries	eng_hymn_watts	26
cross	eng_hymn_watts	26
dear	eng_celtic_thomas_moore	26
endure	eng_hymn_watts	26
find	eng_hall_thomas_durfey	26
fire	eng_celtic_robert_burns	26
fire	eng_hymn_watts	26
food	eng_hymn_watts	26
glee	eng_british_felicia_hemans	26
gone	eng_hall_william_barnes	26
hear	eng_hymn_watts	26
heard	eng_british_felicia_hemans	26
hill	eng_hymn_watts	26
jo	eng_celtic_robert_burns	26
love	eng_british_christina_rossetti	26
me	eng_hall_edwin_waugh	26
mind	eng_celtic_robert_burns	26
part	eng_hall_thomas_durfey	26
roll	eng_hymn_watts	26
sea	eng_british_adelaide_anne_procter	26
see	eng_british_christina_rossetti	26
sight	eng_celtic_robert_burns	26
spring	eng_british_felicia_hemans	26
state	eng_hymn_watts	26
stay	eng_british_robert_herrick	26
swain	eng_hall_thomas_durfey	26
tod	eng_celtic_carolina_oliphant_lady_nairne	26
tread	eng_british_felicia_hemans	26
two	eng_hall_william_barnes	26
arms	eng_celtic_robert_burns	25
bowers	eng_british_felicia_hemans	25
bring	eng_hall_william_barnes	25
bring	eng_hymn_watts	25
charms	eng_hall_thomas_durfey	25
complaints	eng_hymn_watts	25
disdain	eng_hall_thomas_durfey	25
done	eng_hall_thomas_durfey	25
dry	eng_hall_william_barnes	25
ever	eng_celtic_robert_burns	25
glen	eng_celtic_robert_burns	25
hall	eng_british_felicia_hemans	25
home	eng_hall_thomas_durfey	25
la	eng_hall_thomas_durfey	25
lie	eng_british_robert_herrick	25
life	eng_british_felicia_hemans	25
love	eng_british_frances_anne_kemble	25
low	eng_british_felicia_hemans	25
man	eng_hall_william_barnes	25
me	eng_british_arthur_hugh_clough	25
name	eng_hall_thomas_durfey	25
night	eng_british_adelaide_anne_procter	25
night	eng_british_christina_rossetti	25
place	eng_celtic_robert_burns	25
reign	eng_hymn_watts	25
rose	eng_british_felicia_hemans	25
round	eng_hymn_watts	25
sang	eng_celtic_robert_burns	25
say	eng_hymn_watts	25
son	eng_british_felicia_hemans	25
soul	eng_celtic_robert_burns	25
still	eng_british_adelaide_anne_procter	25
still	eng_celtic_robert_burns	25
tears	eng_british_adelaide_anne_procter	25
these	eng_british_robert_herrick	25
together	eng_hall_thomas_durfey	25
weep	eng_british_felicia_hemans	25
wine	eng_hall_thomas_durfey	25
within	eng_hymn_watts	25
a	eng_celtic_james_hogg	24
a	eng_hall_thomas_durfey	24
air	eng_british_adelaide_anne_procter	24
all	eng_british_felicia_hemans	24
around	eng_british_felicia_hemans	24
bed	eng_hymn_watts	24
best	eng_celtic_robert_burns	24
best	eng_hall_thomas_durfey	24
came	eng_hymn_watts	24
day	eng_british_percy_bysshe_shelley	24
dear	eng_hall_thomas_durfey	24
face	eng_british_christina_rossetti	24
fear	eng_hall_thomas_durfey	24
hand	eng_hall_thomas_durfey	24
hear	eng_british_felicia_hemans	24
height	eng_hall_william_barnes	24
hell	eng_celtic_robert_burns	24
land	eng_celtic_robert_burns	24
lew	eng_hall_william_barnes	24
me	eng_british_charles_kingsley	24
men	eng_hall_william_barnes	24
near	eng_hall_william_barnes	24
please	eng_british_robert_herrick	24
prove	eng_hall_thomas_durfey	24
record	eng_hymn_watts	24
rest	eng_british_christina_rossetti	24
sigh	eng_british_felicia_hemans	24
sir	eng_celtic_robert_burns	24
skies	eng_british_adelaide_anne_procter	24
slain	eng_hymn_watts	24
spread	eng_british_felicia_hemans	24
sure	eng_hymn_watts	24
tell	eng_hymn_watts	24
then	eng_hall_thomas_durfey	24
there	eng_celtic_robert_burns	24
up	eng_hymn_watts	24
us	eng_celtic_robert_burns	24
won	eng_british_felicia_hemans	24
years	eng_british_felicia_hemans	24
you	eng_british_adelaide_anne_procter	24
you	eng_british_christina_rossetti	24
all	eng_british_adelaide_anne_procter	23
back	eng_british_felicia_hemans	23
be	eng_british_matthew_arnold	23
been	eng_british_felicia_hemans	23
below	eng_british_felicia_hemans	23
brave	eng_british_felicia_hemans	23
bright	eng_british_adelaide_anne_procter	23
by	eng_british_christina_rossetti	23
by	eng_hall_john_clare	23
clean	eng_hymn_watts	23
clear	eng_british_felicia_hemans	23
day	eng_hall_john_clare	23
days	eng_celtic_robert_burns	23
fate	eng_hall_thomas_durfey	23
flesh	eng_hymn_watts	23
flowers	eng_british_robert_herrick	23
free	eng_hymn_watts	23
grief	eng_hymn_watts	23
grow	eng_hall_william_barnes	23
joy	eng_celtic_robert_burns	23
life	eng_celtic_robert_burns	23
men	eng_celtic_robert_burns	23
mine	eng_british_adelaide_anne_procter	23
more	eng_british_robert_herrick	23
on	eng_hymn_watts	23
play	eng_british_robert_herrick	23
psalm	eng_hymn_watts	23
reward	eng_hymn_watts	23
right	eng_hall_william_barnes	23
round	eng_british_felicia_hemans	23
sacrifice	eng_hymn_watts	23
sea	eng_celtic_robert_burns	23
see	eng_celtic_robert_burns	23
small	eng_hall_william_barnes	23
sun	eng_hymn_watts	23
swat	eng_british_edward_lear	23
the	eng_hymn_watts	23
thee	eng_british_william_blake	23
thee	eng_hymn_cowper	23
tree	eng_celtic_robert_burns	23
true	eng_celtic_robert_burns	23
way	eng_british_robert_herrick	23
well	eng_british_felicia_hemans	23
wine	eng_hymn_watts	23
ye	eng_british_robert_herrick	23
a	eng_celtic_carolina_oliphant_lady_nairne	22
air	eng_hall_thomas_durfey	22
all	eng_british_christina_rossetti	22
bright	eng_celtic_robert_burns	22
cause	eng_hymn_watts	22
charms	eng_celtic_robert_burns	22
cried	eng_hall_william_barnes	22
dead	eng_british_robert_herrick	22
dear	eng_british_adelaide_anne_procter	22
decay	eng_british_felicia_hemans	22
depart	eng_hymn_watts	22
eye	eng_british_robert_herrick	22
eyes	eng_british_adelaide_anne_procter	22
fame	eng_celtic_robert_burns	22
fear	eng_celtic_robert_burns	22
green	eng_celtic_robert_burns	22
hair	eng_british_felicia_hemans	22
hand	eng_british_christina_rossetti	22
have	eng_british_robert_herrick	22
her	eng_hall_william_barnes	22
here	eng_celtic_robert_burns	22
hill	eng_celtic_robert_burns	22
it	eng_british_lewis_carroll	22
join	eng_hymn_watts	22
keep	eng_hymn_watts	22
kiss	eng_british_robert_herrick	22
lies	eng_british_felicia_hemans	22
light	eng_celtic_robert_burns	22
long	eng_british_felicia_hemans	22
lost	eng_hymn_watts	22
me	eng_british_matthew_arnold	22
me	eng_british_richard_lovelace	22
me	eng_hymn_cowper	22
might	eng_british_felicia_hemans	22
morn	eng_british_felicia_hemans	22
old	eng_british_felicia_hemans	22
on	eng_celtic_robert_burns	22
poor	eng_hymn_watts	22
prayer	eng_british_felicia_hemans	22
prime	eng_celtic_robert_burns	22
race	eng_celtic_robert_burns	22
rest	eng_british_robert_herrick	22
run	eng_hymn_watts	22
seas	eng_hymn_watts	22
shoe	eng_hall_william_barnes	22
sins	eng_hymn_watts	22
spread	eng_hall_william_barnes	22
spring	eng_british_christina_rossetti	22
strong	eng_hymn_watts	22
sun	eng_british_christina_rossetti	22
tree	eng_british_christina_rossetti	22
woe	eng_celtic_robert_burns	22
year	eng_celtic_robert_burns	22
and	eng_hymn_watts	21
band	eng_british_felicia_hemans	21
be	eng_british_richard_lovelace	21
bide	eng_hall_william_barnes	21
blind	eng_hall_thomas_durfey	21
bride	eng_hall_william_barnes	21
by	eng_celtic_robert_burns	21
call	eng_british_felicia_hemans	21
call	eng_hall_william_barnes	21
come	eng_hall_thomas_durfey	21
commands	eng_hymn_watts	21
dark	eng_hall_william_barnes	21
days	eng_british_felicia_hemans	21
despair	eng_hall_thomas_durfey	21
die	eng_celtic_robert_burns	21
divine	eng_british_felicia_hemans	21
done	eng_british_adelaide_anne_procter	21
fall	eng_hall_william_barnes	21
fear	eng_british_robert_herrick	21
fire	eng_british_robert_herrick	21
flood	eng_hymn_watts	21
great	eng_hall_thomas_durfey	21
hatch	eng_hall_william_barnes	21
have	eng_hall_thomas_durfey	21
hearth	eng_british_felicia_hemans	21
him	eng_british_felicia_hemans	21
i	eng_hall_thomas_durfey	21
law	eng_celtic_robert_burns	21
life	eng_hall_william_barnes	21
lone	eng_british_felicia_hemans	21
look	eng_hall_william_barnes	21
